abbr,State,Deaths,Death_100k,CasesInLast7Days,RatePer100000,Total_Cases
AL,Alabama,1166,23.9,11487,1172.5,57308
AK,Alaska,17,2.3,395,214.1,1579
AZ,Arizona,2337,32.6,23003,1786.2,128097
AR,Arkansas,331,11,5221,986.6,29733
CA,California,7087,17.9,58734,850.7,336508
CO,Colorado,1738,30.5,3022,661.7,37686
CT,Connecticut,4372,122.4,497,1330.4,47530
DE,Delaware,521,53.9,525,1349.3,13050
FL,Florida,4409,20.7,77195,1351.2,287789
GA,Georgia,3054,29,23493,1178.4,123963
HI,Hawaii,22,1.5,178,81.5,1158
ID,Idaho,103,5.9,3179,668,11718
IL,Illinois,7419,58.2,7064,1229.4,156638
IN,Indiana,2775,41.5,4059,787.3,52685
IA,Iowa,757,24,3821,1135.9,35850
KS,Kansas,288,9.9,3157,688.9,20058
KY,Kentucky,635,14.2,2704,452.6,20223
LA,Louisiana,3445,73.9,13779,1760.6,82042
ME,Maine,114,8.5,118,267.3,3578
MD,Maryland,3341,55.3,4155,1241.4,75016
MA,Massachusetts,8340,120.8,1792,1624.6,112130
MI,Michigan,6326,63.3,3964,779.7,77864
MN,Minnesota,1548,27.6,4037,769.4,43170
MS,Mississippi,1272,42.6,5328,1257,37542
MO,Missouri,1093,17.8,4197,470.5,28826
MT,Montana,34,3.2,581,183.8,1952
NE,Nebraska,286,14.8,1516,1125.7,21717
NV,Nevada,636,21,5812,983.1,29832
NH,New Hampshire,392,28.9,159,449,6091
NJ,New Jersey,15582,174.9,2037,1974.7,175915
NM,New Mexico,551,26.3,1787,740.4,15514
NY,New York,32109,356.7,5092,4284,405017
NC,North Carolina,1552,14.9,13609,861.8,89484
ND,North Dakota,88,11.6,667,600.6,4565
OH,Ohio,3069,26.3,9091,581.7,67995
OK,Oklahoma,424,10.8,4421,530.6,20922
OR,Oregon,244,5.8,2200,305.6,12805
PA,Pennsylvania,6957,54.3,5517,762.6,97665
RI,Rhode Island,984,93.1,333,1653.9,17487
SC,South Carolina,993,19.5,13037,1187.8,60389
SD,South Dakota,109,12.4,409,858.3,7572
TN,Tennessee,767,11.3,13274,986.5,66788
TX,Texas,3322,11.6,64473,958.3,275058
UT,Utah,226,7.1,4490,986.9,31196
VT,Vermont,56,8.9,51,208.4,1305
VA,Virginia,1992,23.4,6152,863.2,73527
WA,Washington,1404,18.6,4884,561.4,42304
WV,West Virginia,97,5.4,902,244,4407
WI,Wisconsin,833,14.3,5584,711.2,41349
WY,Wyoming,22,3.8,240,337.7,1951