Death,Death_100k,CasesInLast7Days,RatePer100000,abbr,fips,jurisdiction,Total_Cases
1166,23.9,11487,1172.5,AL,1,Alabama,57308
17,2.3,395,214.1,AK,2,Alaska,1579
2337,32.6,23003,1786.2,AZ,4,Arizona,128097
331,11,5221,986.6,AR,5,Arkansas,29733
7087,17.9,58734,850.7,CA,6,California,336508
1738,30.5,3022,661.7,CO,8,Colorado,37686
4372,122.4,497,1330.4,CT,9,Connecticut,47530
521,53.9,525,1349.3,DE,10,Delaware,13050
4409,20.7,77195,1351.2,FL,12,Florida,287789
3054,29,23493,1178.4,GA,13,Georgia,123963
22,1.5,178,81.5,HI,15,Hawaii,1158
103,5.9,3179,668,ID,16,Idaho,11718
7419,58.2,7064,1229.4,IL,17,Illinois,156638
2775,41.5,4059,787.3,IN,18,Indiana,52685
757,24,3821,1135.9,IA,19,Iowa,35850
288,9.9,3157,688.9,KS,20,Kansas,20058
635,14.2,2704,452.6,KY,21,Kentucky,20223
3445,73.9,13779,1760.6,LA,22,Louisiana,82042
114,8.5,118,267.3,ME,23,Maine,3578
3341,55.3,4155,1241.4,MD,24,Maryland,75016
8340,120.8,1792,1624.6,MA,25,Massachusetts,112130
6326,63.3,3964,779.7,MI,26,Michigan,77864
1548,27.6,4037,769.4,MN,27,Minnesota,43170
1272,42.6,5328,1257,MS,28,Mississippi,37542
1093,17.8,4197,470.5,MO,29,Missouri,28826
34,3.2,581,183.8,MT,30,Montana,1952
286,14.8,1516,1125.7,NE,31,Nebraska,21717
636,21,5812,983.1,NV,32,Nevada,29832
392,28.9,159,449,NH,33,New Hampshire,6091
15582,174.9,2037,1974.7,NJ,34,New Jersey,175915
551,26.3,1787,740.4,NM,35,New Mexico,15514
32109,356.7,5092,4284,NY,36,New York,405017
1552,14.9,13609,861.8,NC,37,North Carolina,89484
88,11.6,667,600.6,ND,38,North Dakota,4565
3069,26.3,9091,581.7,OH,39,Ohio,67995
424,10.8,4421,530.6,OK,40,Oklahoma,20922
244,5.8,2200,305.6,OR,41,Oregon,12805
6957,54.3,5517,762.6,PA,42,Pennsylvania,97665
984,93.1,333,1653.9,RI,44,Rhode Island,17487
993,19.5,13037,1187.8,SC,45,South Carolina,60389
109,12.4,409,858.3,SD,46,South Dakota,7572
767,11.3,13274,986.5,TN,47,Tennessee,66788
3322,11.6,64473,958.3,TX,48,Texas,275058
226,7.1,4490,986.9,UT,49,Utah,31196
56,8.9,51,208.4,VT,50,Vermont,1305
1992,23.4,6152,863.2,VA,51,Virginia,73527
1404,18.6,4884,561.4,WA,53,Washington,42304
97,5.4,902,244,WV,54,West Virginia,4407
833,14.3,5584,711.2,WI,55,Wisconsin,41349
22,3.8,240,337.7,WY,56,Wyoming,1951